onset	duration	trial_type	stim_ref
2.000	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p01
3.500	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p02
5.000	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p03
6.500	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p04
8.000	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p05
9.500	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p06
11.000	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p07
12.500	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p08
14.000	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p09
15.500	0	TMS	bids::sub-01/ses-post/stim/sub-01_ses-post_task-meps_acq-post_stim.tsv#id=post_p10
