MarkerID	PeelingDepth	target_x	target_y	target_z	entry_x	entry_y	entry_z	coil_x	coil_y	coil_z	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	ElectricFieldMax_x	ElectricFieldMax_y	ElectricFieldMax_z	Timestamp
marker3.1	21.0	138.36	220.89	70.92	137.63	220.74	76.83	136.98	221.27	71.59	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:00:00Z
marker3.2	21.0	137.9	220.54	71.08	138.18	221.14	76.91	136.92	221.29	71.29	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:00:12Z
marker3.3	21.0	138.2	220.58	70.66	137.96	221.1	76.95	136.8	221.26	71.73	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:00:24Z
marker3.4	21.0	137.97	220.65	70.85	138.15	221.2	76.65	136.87	221.24	71.12	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:00:36Z
marker3.5	21.0	137.82	220.6	71.12	137.97	220.48	77.03	136.93	221.05	71.48	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:00:48Z
marker3.6	21.0	137.88	220.63	70.91	137.55	220.75	77.1	137.17	221.62	71.82	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:01:00Z
marker3.7	21.0	138.3	220.58	71.07	137.63	220.68	76.52	137.21	221.67	71.56	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:01:12Z
marker3.8	21.0	138.35	220.67	70.93	138.03	220.59	76.99	137.39	221.2	71.78	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:01:24Z
marker3.9	21.0	137.97	221.15	71.0	138.14	220.93	76.95	136.72	221.68	71.33	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:01:36Z
marker3.10	21.0	138.05	220.92	70.73	138.03	221.03	76.9	136.82	220.82	71.41	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:01:48Z
marker3.11	21.0	137.88	220.7	70.71	138.08	220.69	76.88	137.14	221.23	71.54	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:02:00Z
marker3.12	21.0	138.43	220.97	70.64	137.98	220.91	77.15	137.03	221.29	71.45	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:02:12Z
marker3.13	21.0	138.13	220.86	70.8	137.96	220.72	77.04	136.86	221.5	71.77	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:02:24Z
marker3.14	21.0	138.1	220.63	71.17	137.86	220.89	76.75	136.65	221.45	71.66	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:02:36Z
marker3.15	21.0	137.98	220.86	70.77	137.85	220.77	77.28	137.16	221.3	71.71	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:02:48Z
marker3.16	21.0	137.9	220.71	71.07	137.89	220.46	76.72	137.02	221.43	71.85	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:03:00Z
marker3.17	21.0	137.86	220.95	70.99	137.97	220.97	77.0	136.83	221.61	71.36	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:03:12Z
marker3.18	21.0	138.01	220.8	70.98	137.85	220.79	76.87	137.2	221.24	71.61	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:03:24Z
marker3.19	21.0	137.95	220.54	71.44	137.99	220.5	77.18	136.79	221.47	71.77	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:03:36Z
marker3.20	21.0	137.87	220.71	70.79	137.97	220.48	76.65	136.97	221.61	71.73	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:03:48Z
marker3.21	21.0	138.35	220.94	70.8	137.98	220.39	76.71	136.8	221.45	71.73	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:04:00Z
marker3.22	21.0	137.89	220.68	70.59	137.97	220.85	76.99	136.84	221.8	71.84	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:04:12Z
marker3.23	21.0	137.98	220.69	70.84	138.03	220.8	77.0	137.15	221.67	71.83	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:04:24Z
marker3.24	21.0	137.98	220.88	70.82	137.88	221.18	76.81	137.4	221.33	71.65	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:04:36Z
marker3.25	21.0	138.22	220.8	70.98	137.95	220.7	76.87	136.87	221.73	71.57	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:04:48Z
marker3.26	21.0	138.34	220.26	70.9	138.11	220.74	77.12	137.13	221.35	71.69	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:05:00Z
marker3.27	21.0	138.56	220.85	70.96	137.91	220.83	76.64	136.96	221.89	71.81	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:05:12Z
marker3.28	21.0	138.13	221.02	71.28	138.12	221.21	77.11	137.03	221.74	71.13	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:05:24Z
marker3.29	21.0	137.89	220.85	70.72	137.97	220.67	76.77	137.54	221.53	71.59	0.58	0.81	-0.12	-0.63	0.53	0.56	120.0	201.5	73.9	2025-06-03T15:05:36Z
