MarkerID	coil_x	coil_y	coil_z	normal_x	normal_y	normal_z	direction_x	direction_y	direction_z	ElectricFieldMax_x	ElectricFieldMax_y	ElectricFieldMax_x	Timestamp
marker1.1	142.55	217.53	70.42	0.5952	0.7977	-0.1023	-0.5842	0.5577	0.5653	119.8	200.6	75.0	2025-06-01T15:00:00Z
marker1.2	142.42	216.64	69.24	0.5744	0.7899	-0.0969	-0.6091	0.5359	0.5847	119.4	200.8	74.5	2025-06-01T15:00:00.020000Z
marker1.3	142.03	217.66	69.52	0.5838	0.794	-0.1029	-0.606	0.5685	0.5699	119.0	201.2	74.6	2025-06-01T15:00:00.040000Z
marker1.4	142.4	216.62	69.44	0.582	0.8074	-0.0983	-0.6012	0.547	0.5552	119.1	200.6	75.7	2025-06-01T15:00:00.060000Z
marker1.5	142.47	216.72	70.26	0.5761	0.7932	-0.0939	-0.5897	0.5593	0.5616	119.3	201.0	75.7	2025-06-01T15:00:00.080000Z
marker1.6	142.06	217.51	69.55	0.568	0.8081	-0.0864	-0.6007	0.56	0.5736	119.2	201.0	76.0	2025-06-01T15:00:00.100000Z
marker1.7	142.28	218.38	68.79	0.5882	0.8009	-0.103	-0.5991	0.5301	0.5678	119.7	201.5	74.9	2025-06-01T15:00:00.120000Z
marker1.8	141.9	217.35	70.56	0.5833	0.7947	-0.0949	-0.599	0.5597	0.563	119.3	200.6	74.5	2025-06-01T15:00:00.140000Z
marker1.9	142.45	217.73	70.1	0.5777	0.7858	-0.1042	-0.6034	0.542	0.5684	119.7	201.7	75.3	2025-06-01T15:00:00.160000Z
marker1.10	142.43	217.56	69.14	0.5797	0.8006	-0.0754	-0.6019	0.553	0.5697	118.9	201.4	75.6	2025-06-01T15:00:00.180000Z
