onset	duration	trial_type	stim_id	stim_count
0.0 0.0 	0	tms_pulse	marker1.1	1
2.0 0.0 	0	tms_pulse	marker1.2	2
8.0 0.0 	0	tms_pulse	marker1.3	3
13.0 0.0 	0	tms_pulse	marker1.4	4
16.0 0.0 	0	tms_pulse	marker1.5	5
22.0 0.0 	0	tms_pulse	marker1.6	6
28.0 0.0 	0	tms_pulse	marker1.7	7
33.0 0.0 	0	tms_pulse	marker1.8	8
38.0 0.0 	0	tms_pulse	marker1.9	9
40.0 0.0 	0	tms_pulse	marker1.10	10
43.0 0.0 	0	tms_pulse	marker1.11	11
46.0 0.0 	0	tms_pulse	marker1.12	12
51.0 0.0 	0	tms_pulse	marker1.13	13
55.0 0.0 	0	tms_pulse	marker1.14	14
58.0 0.0 	0	tms_pulse	marker1.15	15
65.0 0.0 	0	tms_pulse	marker1.16	16
70.0 0.0 	0	tms_pulse	marker1.17	17
76.0 0.0 	0	tms_pulse	marker1.18	18
83.0 0.0 	0	tms_pulse	marker1.19	19
88.0 0.0 	0	tms_pulse	marker1.20	20
91.0 0.0 	0	tms_pulse	marker1.21	21
94.0 0.0 	0	tms_pulse	marker1.22	22
98.0 0.0 	0	tms_pulse	marker1.23	23
102.0 0.0 	0	tms_pulse	marker1.24	24
107.0 0.0 	0	tms_pulse	marker1.25	25
110.0 0.0 	0	tms_pulse	marker1.26	26
114.0 0.0 	0	tms_pulse	marker1.27	27
116.0 0.0 	0	tms_pulse	marker1.28	28
121.0 0.0 	0	tms_pulse	marker1.29	29
126.0 0.0 	0	tms_pulse	marker1.30	30
132.0 0.0 	0	tms_pulse	marker1.31	31
136.0 0.0 	0	tms_pulse	marker1.32	32
139.0 0.0 	0	tms_pulse	marker1.33	33
143.0 0.0 	0	tms_pulse	marker1.34	34
148.0 0.0 	0	tms_pulse	marker1.35	35
154.0 0.0 	0	tms_pulse	marker1.36	36
160.0 0.0 	0	tms_pulse	marker1.37	37
162.0 0.0 	0	tms_pulse	marker1.38	38
167.0 0.0 	0	tms_pulse	marker1.39	39
172.0 0.0 	0	tms_pulse	marker1.40	40
174.0 0.0 	0	tms_pulse	marker1.41	41
179.0 0.0 	0	tms_pulse	marker1.42	42
183.0 0.0 	0	tms_pulse	marker1.43	43
185.0 0.0 	0	tms_pulse	marker1.44	44
189.0 0.0 	0	tms_pulse	marker1.45	45
194.0 0.0 	0	tms_pulse	marker1.46	46
198.0 0.0 	0	tms_pulse	marker1.47	47
202.0 0.0 	0	tms_pulse	marker1.48	48
205.0 0.0 	0	tms_pulse	marker1.49	49
210.0 0.0 	0	tms_pulse	marker1.50	50
213.0 0.0 	0	tms_pulse	marker1.51	51
219.0 0.0 	0	tms_pulse	marker1.52	52
221.0 0.0 	0	tms_pulse	marker1.53	53
226.0 0.0 	0	tms_pulse	marker1.54	54
230.0 0.0 	0	tms_pulse	marker1.55	55
233.0 0.0 	0	tms_pulse	marker1.56	56
239.0 0.0 	0	tms_pulse	marker1.57	57
244.0 0.0 	0	tms_pulse	marker1.58	58
247.0 0.0 	0	tms_pulse	marker1.59	59
253.0 0.0 	0	tms_pulse	marker1.60	60
257.0 0.0 	0	tms_pulse	marker1.61	61
263.0 0.0 	0	tms_pulse	marker1.62	62
267.0 0.0 	0	tms_pulse	marker1.63	63
274.0 0.0 	0	tms_pulse	marker1.64	64
276.0 0.0 	0	tms_pulse	marker1.65	65
282.0 0.0 	0	tms_pulse	marker1.66	66
286.0 0.0 	0	tms_pulse	marker1.67	67
289.0 0.0 	0	tms_pulse	marker1.68	68
296.0 0.0 	0	tms_pulse	marker1.69	69
301.0 0.0 	0	tms_pulse	marker1.70	70
308.0 0.0 	0	tms_pulse	marker1.71	71
314.0 0.0 	0	tms_pulse	marker1.72	72
317.0 0.0 	0	tms_pulse	marker1.73	73
320.0 0.0 	0	tms_pulse	marker1.74	74
322.0 0.0 	0	tms_pulse	marker1.75	75
325.0 0.0 	0	tms_pulse	marker1.76	76
328.0 0.0 	0	tms_pulse	marker1.77	77
335.0 0.0 	0	tms_pulse	marker1.78	78
341.0 0.0 	0	tms_pulse	marker1.79	79
348.0 0.0 	0	tms_pulse	marker1.80	80
350.0 0.0 	0	tms_pulse	marker1.81	81
353.0 0.0 	0	tms_pulse	marker1.82	82
357.0 0.0 	0	tms_pulse	marker1.83	83
363.0 0.0 	0	tms_pulse	marker1.84	84
365.0 0.0 	0	tms_pulse	marker1.85	85
369.0 0.0 	0	tms_pulse	marker1.86	86
373.0 0.0 	0	tms_pulse	marker1.87	87
378.0 0.0 	0	tms_pulse	marker1.88	88
382.0 0.0 	0	tms_pulse	marker1.89	89
384.0 0.0 	0	tms_pulse	marker1.90	90
390.0 0.0 	0	tms_pulse	marker1.91	91
397.0 0.0 	0	tms_pulse	marker1.92	92
403.0 0.0 	0	tms_pulse	marker1.93	93
407.0 0.0 	0	tms_pulse	marker1.94	94
412.0 0.0 	0	tms_pulse	marker1.95	95
414.0 0.0 	0	tms_pulse	marker1.96	96
421.0 0.0 	0	tms_pulse	marker1.97	97
426.0 0.0 	0	tms_pulse	marker1.98	98
433.0 0.0 	0	tms_pulse	marker1.99	99
437.0 0.0 	0	tms_pulse	marker1.100	100
