 trial	stimulus	response	response_time	correct
1	Face_B	Yes	553.87	1
2	Face_A	Yes	987.4	0
3	Face_B	Yes	737.91	1
4	Face_A	Yes	1007.34	0
5	Face_A	No	545.75	1
6	Face_B	No	720.7	0
7	Face_A	No	877.64	0
8	Face_A	No	1053.51	1
9	Face_B	Yes	723.13	0
10	Face_A	No	938.12	1
11	Face_A	Yes	1120.18	1
12	Face_A	No	931.1	0
13	Face_B	Yes	663.07	0
14	Face_A	Yes	517.08	1
15	Face_B	No	1109.07	0
16	Face_B	Yes	514.89	0
17	Face_A	Yes	1112.29	0
18	Face_A	No	870.26	0
19	Face_A	Yes	1157.35	0
20	Face_B	No	1059.15	1
21	Face_A	No	1198.55	1
22	Face_A	No	745.5	0
23	Face_A	Yes	1037.03	0
24	Face_A	Yes	781.35	0
25	Face_A	Yes	835.91	1
26	Face_B	No	939.25	0
27	Face_B	Yes	1111.57	1
28	Face_A	No	1188.86	1
29	Face_A	No	1037.79	1
30	Face_A	Yes	792.44	0
31	Face_A	No	794.95	1
32	Face_B	Yes	1016.31	0
33	Face_A	Yes	667.14	1
34	Face_B	Yes	577.33	0
35	Face_B	Yes	748.24	1
36	Face_A	Yes	701.07	0
37	Face_B	No	707.42	1
38	Face_B	No	663.53	0
39	Face_B	No	529.47	0
40	Face_B	Yes	512.51	0
41	Face_A	Yes	1191.41	0
42	Face_A	Yes	799.44	1
43	Face_B	No	769.03	1
44	Face_A	Yes	975.75	0
45	Face_A	No	652.78	1
46	Face_A	No	1164.97	0
47	Face_A	Yes	1050.44	0
48	Face_A	Yes	562.59	1
49	Face_B	No	792.31	0
50	Face_A	Yes	1115.38	0
51	Face_A	No	1161.31	1
52	Face_A	Yes	827.18	0
53	Face_A	Yes	929.39	0
54	Face_B	No	616.92	0
55	Face_B	Yes	1193.82	0
56	Face_B	No	662.17	1
57	Face_B	Yes	1159.91	1
58	Face_A	No	954.75	1
59	Face_B	No	925.42	0
60	Face_A	Yes	858.88	0
