onset	duration	trial_type	stim_id	stim_count
0.0	0.0	stimulus	marker1.1	1
6.0	0.0	stimulus	marker1.2	2
12.0	0.0	stimulus	marker1.3	3
18.0	0.0	stimulus	marker1.4	4
24.0	0.0	stimulus	marker1.5	5
30.0	0.0	stimulus	marker1.6	6
36.0	0.0	stimulus	marker1.7	7
42.0	0.0	stimulus	marker1.8	8
48.0	0.0	stimulus	marker1.9	9
54.0	0.0	stimulus	marker1.10	10
60.0	0.0	stimulus	marker1.11	11
66.0	0.0	stimulus	marker1.12	12
72.0	0.0	stimulus	marker1.13	13
78.0	0.0	stimulus	marker1.14	14
84.0	0.0	stimulus	marker1.15	15
90.0	0.0	stimulus	marker1.16	16
96.0	0.0	stimulus	marker1.17	17
102.0	0.0	stimulus	marker1.18	18
108.0	0.0	stimulus	marker1.19	19
114.0	0.0	stimulus	marker1.20	20
120.0	0.0	stimulus	marker1.21	21
126.0	0.0	stimulus	marker1.22	22
132.0	0.0	stimulus	marker1.23	23
138.0	0.0	stimulus	marker1.24	24
144.0	0.0	stimulus	marker1.25	25
150.0	0.0	stimulus	marker1.26	26
156.0	0.0	stimulus	marker1.27	27
162.0	0.0	stimulus	marker1.28	28
168.0	0.0	stimulus	marker1.29	29
174.0	0.0	stimulus	marker1.30	30
180.0	0.0	stimulus	marker1.31	31
186.0	0.0	stimulus	marker1.32	32
192.0	0.0	stimulus	marker1.33	33
198.0	0.0	stimulus	marker1.34	34
204.0	0.0	stimulus	marker1.35	35
210.0	0.0	stimulus	marker1.36	36
216.0	0.0	stimulus	marker1.37	37
222.0	0.0	stimulus	marker1.38	38
228.0	0.0	stimulus	marker1.39	39
234.0	0.0	stimulus	marker1.40	40
240.0	0.0	stimulus	marker1.41	41
246.0	0.0	stimulus	marker1.42	42
252.0	0.0	stimulus	marker1.43	43
258.0	0.0	stimulus	marker1.44	44
264.0	0.0	stimulus	marker1.45	45
270.0	0.0	stimulus	marker1.46	46
276.0	0.0	stimulus	marker1.47	47
282.0	0.0	stimulus	marker1.48	48
288.0	0.0	stimulus	marker1.49	49
294.0	0.0	stimulus	marker1.50	50
300.0	0.0	stimulus	marker1.51	51
306.0	0.0	stimulus	marker1.52	52
312.0	0.0	stimulus	marker1.53	53
318.0	0.0	stimulus	marker1.54	54
324.0	0.0	stimulus	marker1.55	55
330.0	0.0	stimulus	marker1.56	56
336.0	0.0	stimulus	marker1.57	57
342.0	0.0	stimulus	marker1.58	58
348.0	0.0	stimulus	marker1.59	59
354.0	0.0	stimulus	marker1.60	60
